species,station_id,station_name,n_years,first_year,last_year,mean_doy,ols_slope,ols_decade,ols_r,ols_p,gls_slope,gls_se,gls_p,ar1_rho,gls_transition
つばきの開花,仙台,590,63,1953,2020,83.1,0.08566,0.857,0.0296,0.817775,0.08602,0.30666,0.780055,-0.2206,
つばきの開花,福島,595,67,1953,2020,76.4,-0.00195,-0.019,-0.0023,0.985059,-0.04429,0.15631,0.777841,0.3680,
つばきの開花,白河,597,45,1953,1997,100.0,0.20461,2.046,0.3366,0.023777,0.15266,0.10566,0.155930,0.1787,sig_to_ns
つばきの開花,小名浜,598,52,1953,2008,135.1,5.65915,56.592,0.6762,0.000000,5.51634,18.64916,0.768636,FD,sig_to_ns
つばきの開花,輪島,600,47,1964,2010,101.0,1.68652,16.865,0.2376,0.107789,1.69371,0.99598,0.096088,-0.0745,
つばきの開花,相川,602,49,1953,2007,115.5,1.19004,11.900,0.1483,0.309312,0.96459,1.77466,0.589385,0.3561,
つばきの開花,新潟,604,66,1953,2019,83.4,0.00712,0.071,0.0109,0.930777,-0.01460,0.12374,0.906426,0.3687,
つばきの開花,金沢,605,47,1954,2020,77.9,0.23350,2.335,0.0564,0.706568,0.34844,0.64753,0.593217,-0.0378,
つばきの開花,富山,607,59,1953,2021,111.2,2.52379,25.238,0.4907,0.000080,2.83395,0.94348,0.003983,0.3955,
つばきの開花,長野,610,67,1953,2020,105.1,-0.17657,-1.766,-0.3340,0.005737,-0.17306,0.08695,0.050832,0.3064,sig_to_ns
つばきの開花,高田,612,55,1953,2007,87.7,-0.34834,-3.483,-0.4790,0.000216,-0.36558,0.09942,0.000559,0.0918,
つばきの開花,宇都宮,615,62,1953,2020,75.1,-0.08434,-0.843,-0.1158,0.370107,-0.08895,0.10134,0.383632,0.0515,
つばきの開花,福井,616,61,1956,2021,112.7,2.28966,22.897,0.4073,0.001124,2.37692,0.75735,0.002669,0.0869,
つばきの開花,高山,617,53,1953,2005,111.3,-0.16941,-1.694,-0.3153,0.021453,-0.18189,0.09343,0.057198,0.2301,sig_to_ns
つばきの開花,前橋,624,63,1953,2016,89.8,0.71448,7.145,0.1207,0.346226,0.64918,0.66364,0.331896,-0.1566,
つばきの開花,熊谷,626,61,1953,2020,76.4,-0.42384,-4.238,-0.1236,0.342630,-0.44402,0.60445,0.465550,0.2753,
つばきの開花,水戸,629,67,1953,2020,118.4,-0.94239,-9.424,-0.1344,0.278076,-0.59343,1.08786,0.587306,0.2174,
つばきの開花,敦賀,631,52,1953,2005,71.4,1.17162,11.716,0.2175,0.121333,1.06125,0.93423,0.261495,0.1878,
つばきの開花,岐阜,632,58,1953,2020,61.1,0.47853,4.785,0.1476,0.268704,0.52584,0.46427,0.262289,0.0460,
つばきの開花,名古屋,636,64,1955,2020,61.0,0.43072,4.307,0.1999,0.113239,0.44792,0.26070,0.090844,-0.0597,
つばきの開花,飯田,637,54,1953,2006,85.8,0.24605,2.460,0.3428,0.011171,0.25362,0.10075,0.015009,0.0375,
つばきの開花,甲府,638,51,1953,2020,68.3,-0.37126,-3.713,-0.4045,0.003237,-0.40565,0.13367,0.003881,0.0611,
つばきの開花,銚子,648,61,1955,2021,278.2,2.79802,27.980,0.3748,0.002920,2.45265,0.98792,0.015956,0.0705,
つばきの開花,津,651,66,1953,2020,89.3,3.28762,32.876,0.4917,0.000028,3.37082,0.69325,0.000008,-0.0785,
つばきの開花,浜松,654,48,1954,2005,51.8,-0.01188,-0.119,-0.0038,0.979546,-0.10892,0.53263,0.838891,0.1028,
つばきの開花,静岡,656,62,1954,2020,150.9,2.96657,29.666,0.3611,0.003937,2.83102,1.16565,0.018219,0.1308,
つばきの開花,東京,662,58,1956,2020,41.1,0.43762,4.376,0.1670,0.210247,0.43173,0.32542,0.190098,-0.1028,
つばきの開花,尾鷲,663,38,1954,2007,86.9,4.06351,40.635,0.4444,0.005185,4.19090,2.75749,0.137538,0.5098,sig_to_ns
つばきの開花,横浜,670,61,1955,2020,154.2,-0.78183,-7.818,-0.0911,0.485165,-0.45956,1.36891,0.738299,0.1796,
つばきの開花,館山,672,33,1969,2006,84.7,-2.67030,-26.703,-0.2139,0.231963,-1.23414,2.24138,0.585972,-0.0151,
つばきの開花,大島,675,51,1953,2009,283.0,-2.64338,-26.434,-0.3657,0.008319,-2.80273,1.02088,0.008479,0.0190,
つばきの開花,三宅島,677,39,1954,2000,324.2,0.36018,3.602,0.5566,0.000233,0.32039,0.09442,0.001693,0.0333,
つばきの開花,八丈島,678,56,1953,2008,306.3,-1.16736,-11.674,-0.2614,0.051634,-5.16364,6.23235,0.411091,FD,
つばきの開花,西郷,740,56,1953,2008,60.9,0.87919,8.792,0.1929,0.154339,0.90828,0.72301,0.214532,0.1355,
つばきの開花,松江,741,50,1959,2020,96.7,0.27514,2.751,0.0354,0.807190,-0.14727,1.75591,0.933514,0.3554,
